trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1479,False,"{'a': 0.2, 'e': 0.002706767934371201}",25,20,8.227815391892525,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1480,False,"{'a': 0.2, 'e': 0.0026959624879338505}",20,0,30.14775754066828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1481,False,"{'a': 0.2, 'e': 0.0026852001769538205}",25,12,28.188292892521368,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1482,False,"{'a': 0.2, 'e': 0.002674480829233906}",20,10,20.51418569184944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1483,False,"{'a': 0.2, 'e': 0.00266380427326431}",25,12,27.751715723347818,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1484,False,"{'a': 0.2, 'e': 0.002653170338219919}",30,22,14.590775614315138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1485,False,"{'a': 0.2, 'e': 0.0026425788539575406}",20,0,29.63792784716914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1486,False,"{'a': 0.2, 'e': 0.0026320296510131984}",20,6,24.48113711238372,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1487,False,"{'a': 0.2, 'e': 0.0026215225605994243}",30,18,23.957063227230748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1488,False,"{'a': 0.2, 'e': 0.0026110574146025432}",25,7,34.06860228655085,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1489,False,"{'a': 0.2, 'e': 0.0026006340455799986}",20,10,17.128592170929934,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1490,False,"{'a': 0.2, 'e': 0.002590252286757666}",30,12,31.938102450659375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1491,False,"{'a': 0.2, 'e': 0.00257991197202718}",25,7,30.81140189220623,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
